onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
53.7860000000	n/a	n/a	STATUS	n/a	n/a	S111
58.2180000000	n/a	n/a	STATUS	n/a	n/a	S111
62.9060000000	n/a	n/a	STATUS	n/a	n/a	S111
100.9060000000	n/a	n/a	STATUS	n/a	n/a	S111
104.6180000000	n/a	n/a	STATUS	n/a	n/a	S111
108.3100000000	n/a	n/a	STATUS	n/a	n/a	S111
111.7340000000	n/a	n/a	STATUS	n/a	n/a	S111
115.6220000000	n/a	n/a	STATUS	n/a	n/a	S111
119.2420000000	n/a	n/a	STATUS	n/a	n/a	S111
122.8260000000	n/a	n/a	STATUS	n/a	n/a	S111
126.2980000000	n/a	n/a	STATUS	n/a	n/a	S111
130.3460000000	n/a	n/a	STATUS	n/a	n/a	S111
133.8260000000	n/a	n/a	STATUS	n/a	n/a	S111
161.6980000000	n/a	n/a	STATUS	n/a	n/a	S111
165.9980000000	n/a	n/a	STATUS	n/a	n/a	S111
169.8300000000	n/a	n/a	STATUS	n/a	n/a	S111
176.8780000000	n/a	n/a	STATUS	n/a	n/a	S111
181.2780000000	n/a	n/a	STATUS	n/a	n/a	S111
185.0580000000	n/a	n/a	STATUS	n/a	n/a	S111
189.2100000000	n/a	n/a	STATUS	n/a	n/a	S111
193.2340000000	n/a	n/a	STATUS	n/a	n/a	S111
232.7440000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
233.6400000000	n/a	n/a	Left Button	n/a	n/a	S 10
234.6640000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
238.7660000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
239.4440000000	n/a	n/a	Right Button	n/a	n/a	S 20
240.9180000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
244.6200000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
245.1720000000	n/a	n/a	Left Button	n/a	n/a	S 10
246.2560000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
249.7420000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
250.4880000000	n/a	n/a	Left Button	n/a	n/a	S 10
251.3600000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
254.9460000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
255.5720000000	n/a	n/a	Left Button	n/a	n/a	S 10
256.5300000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
260.0820000000	n/a	n/a	CUE: B - HARD PUPPY	n/a	n/a	S  2
262.2120000000	n/a	n/a	Right Button	n/a	n/a	S 20
263.1340000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
267.0040000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
267.4800000000	n/a	n/a	Left Button	n/a	n/a	S 10
268.7220000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
272.4080000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
273.6480000000	n/a	n/a	Right Button	n/a	n/a	S 20
274.7100000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
278.8800000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
279.4880000000	n/a	n/a	Left Button	n/a	n/a	S 10
281.0320000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
284.6020000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
285.1600000000	n/a	n/a	Left Button	n/a	n/a	S 10
286.1020000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
290.1720000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
290.7840000000	n/a	n/a	Right Button	n/a	n/a	S 20
292.2240000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
296.0100000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
296.6520000000	n/a	n/a	Left Button	n/a	n/a	S 10
297.8120000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
301.6140000000	n/a	n/a	CUE: B - HARD PUPPY	n/a	n/a	S  2
302.3640000000	n/a	n/a	Right Button	n/a	n/a	S 20
303.5500000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
307.3180000000	n/a	n/a	CUE: B - HARD PUPPY	n/a	n/a	S  2
308.0800000000	n/a	n/a	Right Button	n/a	n/a	S 20
309.2200000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
313.1400000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
313.8120000000	n/a	n/a	Left Button	n/a	n/a	S 10
315.1080000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
318.5780000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
319.7880000000	n/a	n/a	Right Button	n/a	n/a	S 20
320.6280000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
324.7820000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
326.4160000000	n/a	n/a	Left Button	n/a	n/a	S 10
327.9520000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
331.4880000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
332.1320000000	n/a	n/a	Left Button	n/a	n/a	S 10
333.0380000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
337.1740000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
337.8440000000	n/a	n/a	Left Button	n/a	n/a	S 10
339.3600000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
342.9460000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
343.7800000000	n/a	n/a	Right Button	n/a	n/a	S 20
344.7480000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
348.5000000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
349.6480000000	n/a	n/a	Left Button	n/a	n/a	S 10
350.7860000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
354.4220000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
355.0160000000	n/a	n/a	Left Button	n/a	n/a	S 10
356.0220000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
359.6260000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
360.3720000000	n/a	n/a	Left Button	n/a	n/a	S 10
361.3600000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
365.2640000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
365.8440000000	n/a	n/a	Left Button	n/a	n/a	S 10
367.1320000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
371.2520000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
371.9280000000	n/a	n/a	Left Button	n/a	n/a	S 10
373.4200000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
377.5900000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
378.1360000000	n/a	n/a	Left Button	n/a	n/a	S 10
379.6900000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
383.4440000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
384.0000000000	n/a	n/a	Left Button	n/a	n/a	S 10
385.1280000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
388.8140000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
389.6400000000	n/a	n/a	Right Button	n/a	n/a	S 20
390.7000000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
394.3860000000	n/a	n/a	CUE: B - HARD PUPPY	n/a	n/a	S  2
395.4560000000	n/a	n/a	Right Button	n/a	n/a	S 20
396.5200000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
