onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
95.6160000000	n/a	n/a	STATUS	n/a	n/a	S111
100.1520000000	n/a	n/a	STATUS	n/a	n/a	S111
103.9720000000	n/a	n/a	STATUS	n/a	n/a	S111
144.6040000000	n/a	n/a	STATUS	n/a	n/a	S111
148.5200000000	n/a	n/a	STATUS	n/a	n/a	S111
152.4680000000	n/a	n/a	STATUS	n/a	n/a	S111
156.2440000000	n/a	n/a	STATUS	n/a	n/a	S111
160.2840000000	n/a	n/a	STATUS	n/a	n/a	S111
164.5800000000	n/a	n/a	STATUS	n/a	n/a	S111
168.5560000000	n/a	n/a	STATUS	n/a	n/a	S111
172.2560000000	n/a	n/a	STATUS	n/a	n/a	S111
177.0200000000	n/a	n/a	STATUS	n/a	n/a	S111
180.8000000000	n/a	n/a	STATUS	n/a	n/a	S111
212.1320000000	n/a	n/a	STATUS	n/a	n/a	S111
215.6100000000	n/a	n/a	STATUS	n/a	n/a	S111
219.5140000000	n/a	n/a	STATUS	n/a	n/a	S111
223.3940000000	n/a	n/a	STATUS	n/a	n/a	S111
227.2780000000	n/a	n/a	STATUS	n/a	n/a	S111
231.3140000000	n/a	n/a	STATUS	n/a	n/a	S111
235.2540000000	n/a	n/a	STATUS	n/a	n/a	S111
238.9940000000	n/a	n/a	STATUS	n/a	n/a	S111
275.8900000000	n/a	n/a	CUE: B - HARD PUPPY	n/a	n/a	S  2
276.7140000000	n/a	n/a	Right Button	n/a	n/a	S 20
277.9240000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
281.9780000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
282.5180000000	n/a	n/a	Left Button	n/a	n/a	S 10
283.9300000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
287.7320000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
288.9220000000	n/a	n/a	Right Button	n/a	n/a	S 20
290.1180000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
293.7860000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
294.5700000000	n/a	n/a	Left Button	n/a	n/a	S 10
295.6380000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
299.3240000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
300.2260000000	n/a	n/a	Left Button	n/a	n/a	S 10
301.2920000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
304.9120000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
305.7620000000	n/a	n/a	Right Button	n/a	n/a	S 20
306.7640000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
310.3160000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
311.0660000000	n/a	n/a	Left Button	n/a	n/a	S 10
312.0000000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
315.7040000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
316.6540000000	n/a	n/a	Left Button	n/a	n/a	S 10
317.7380000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
321.6420000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
322.4820000000	n/a	n/a	Right Button	n/a	n/a	S 20
323.7600000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
327.2960000000	n/a	n/a	CUE: B - HARD PUPPY	n/a	n/a	S  2
329.1340000000	n/a	n/a	Left Button	n/a	n/a	S 10
330.0480000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
333.7000000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
334.7580000000	n/a	n/a	Left Button	n/a	n/a	S 10
335.7860000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
339.6220000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
340.6500000000	n/a	n/a	Right Button	n/a	n/a	S 20
341.8580000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
345.3260000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
346.7460000000	n/a	n/a	Right Button	n/a	n/a	S 20
347.5940000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
351.3820000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
353.2820000000	n/a	n/a	Right Button	n/a	n/a	S 20
354.4500000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
358.0360000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
358.7740000000	n/a	n/a	Right Button	n/a	n/a	S 20
359.7380000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
363.2740000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
364.0980000000	n/a	n/a	Left Button	n/a	n/a	S 10
365.0080000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
368.8440000000	n/a	n/a	CUE: B - HARD PUPPY	n/a	n/a	S  2
370.5260000000	n/a	n/a	Left Button	n/a	n/a	S 10
371.7300000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
375.6000000000	n/a	n/a	CUE: B - HARD PUPPY	n/a	n/a	S  2
376.1980000000	n/a	n/a	Right Button	n/a	n/a	S 20
377.4680000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
