onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
102.7560000000	n/a	n/a	STATUS	n/a	n/a	S111
106.7560000000	n/a	n/a	STATUS	n/a	n/a	S111
111.0360000000	n/a	n/a	STATUS	n/a	n/a	S111
152.4640000000	n/a	n/a	STATUS	n/a	n/a	S111
156.3840000000	n/a	n/a	STATUS	n/a	n/a	S111
159.5880000000	n/a	n/a	STATUS	n/a	n/a	S111
163.5000000000	n/a	n/a	STATUS	n/a	n/a	S111
167.1400000000	n/a	n/a	STATUS	n/a	n/a	S111
172.4960000000	n/a	n/a	STATUS	n/a	n/a	S111
176.4480000000	n/a	n/a	STATUS	n/a	n/a	S111
182.1520000000	n/a	n/a	STATUS	n/a	n/a	S111
185.9320000000	n/a	n/a	STATUS	n/a	n/a	S111
190.0080000000	n/a	n/a	STATUS	n/a	n/a	S111
219.4600000000	n/a	n/a	STATUS	n/a	n/a	S111
223.3840000000	n/a	n/a	STATUS	n/a	n/a	S111
227.7560000000	n/a	n/a	STATUS	n/a	n/a	S111
231.6440000000	n/a	n/a	STATUS	n/a	n/a	S111
235.3560000000	n/a	n/a	STATUS	n/a	n/a	S111
239.1040000000	n/a	n/a	STATUS	n/a	n/a	S111
243.3920000000	n/a	n/a	STATUS	n/a	n/a	S111
247.5600000000	n/a	n/a	STATUS	n/a	n/a	S111
292.9960000000	n/a	n/a	CUE: B - HARD PUPPY	n/a	n/a	S  2
293.5460000000	n/a	n/a	Right Button	n/a	n/a	S 20
294.6640000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
298.3180000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
298.8380000000	n/a	n/a	Left Button	n/a	n/a	S 10
299.9180000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
304.0040000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
304.5580000000	n/a	n/a	Left Button	n/a	n/a	S 10
305.6400000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
309.6260000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
310.0780000000	n/a	n/a	Right Button	n/a	n/a	S 20
311.1600000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
