onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
48.7500000000	n/a	n/a	STATUS	n/a	n/a	S111
52.8340000000	n/a	n/a	STATUS	n/a	n/a	S111
57.1540000000	n/a	n/a	STATUS	n/a	n/a	S111
101.1540000000	n/a	n/a	STATUS	n/a	n/a	S111
105.2200000000	n/a	n/a	STATUS	n/a	n/a	S111
108.9280000000	n/a	n/a	STATUS	n/a	n/a	S111
112.3160000000	n/a	n/a	STATUS	n/a	n/a	S111
116.6560000000	n/a	n/a	STATUS	n/a	n/a	S111
121.0200000000	n/a	n/a	STATUS	n/a	n/a	S111
124.6960000000	n/a	n/a	STATUS	n/a	n/a	S111
128.4000000000	n/a	n/a	STATUS	n/a	n/a	S111
132.7360000000	n/a	n/a	STATUS	n/a	n/a	S111
136.2680000000	n/a	n/a	STATUS	n/a	n/a	S111
165.5520000000	n/a	n/a	STATUS	n/a	n/a	S111
169.3200000000	n/a	n/a	STATUS	n/a	n/a	S111
173.0920000000	n/a	n/a	STATUS	n/a	n/a	S111
177.0080000000	n/a	n/a	STATUS	n/a	n/a	S111
180.5920000000	n/a	n/a	STATUS	n/a	n/a	S111
184.2520000000	n/a	n/a	STATUS	n/a	n/a	S111
187.8400000000	n/a	n/a	STATUS	n/a	n/a	S111
191.7360000000	n/a	n/a	STATUS	n/a	n/a	S111
235.1100000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
235.8800000000	n/a	n/a	Right Button	n/a	n/a	S 20
237.1960000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
241.3320000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
242.1760000000	n/a	n/a	Right Button	n/a	n/a	S 20
243.6840000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
247.5040000000	n/a	n/a	CUE: B - HARD PUPPY	n/a	n/a	S  2
248.0280000000	n/a	n/a	Left Button	n/a	n/a	S 10
249.2220000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
253.3080000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
254.1360000000	n/a	n/a	Left Button	n/a	n/a	S 10
255.5920000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
259.0620000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
