onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
137.9060000000	n/a	n/a	STATUS	n/a	n/a	S111
142.0100000000	n/a	n/a	STATUS	n/a	n/a	S111
146.0460000000	n/a	n/a	STATUS	n/a	n/a	S111
207.9940000000	n/a	n/a	STATUS	n/a	n/a	S111
211.7260000000	n/a	n/a	STATUS	n/a	n/a	S111
215.6620000000	n/a	n/a	STATUS	n/a	n/a	S111
219.5100000000	n/a	n/a	STATUS	n/a	n/a	S111
223.2420000000	n/a	n/a	STATUS	n/a	n/a	S111
227.1020000000	n/a	n/a	STATUS	n/a	n/a	S111
231.0620000000	n/a	n/a	STATUS	n/a	n/a	S111
235.0460000000	n/a	n/a	STATUS	n/a	n/a	S111
239.2940000000	n/a	n/a	STATUS	n/a	n/a	S111
243.9420000000	n/a	n/a	STATUS	n/a	n/a	S111
313.8200000000	n/a	n/a	STATUS	n/a	n/a	S111
317.4920000000	n/a	n/a	STATUS	n/a	n/a	S111
321.8080000000	n/a	n/a	STATUS	n/a	n/a	S111
325.1000000000	n/a	n/a	STATUS	n/a	n/a	S111
329.0000000000	n/a	n/a	STATUS	n/a	n/a	S111
333.2240000000	n/a	n/a	STATUS	n/a	n/a	S111
337.2960000000	n/a	n/a	STATUS	n/a	n/a	S111
341.2160000000	n/a	n/a	STATUS	n/a	n/a	S111
424.2520000000	n/a	n/a	CUE: B - HARD PUPPY	n/a	n/a	S  2
426.2640000000	n/a	n/a	Right Button	n/a	n/a	S 20
427.6720000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
431.8260000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
432.7360000000	n/a	n/a	Left Button	n/a	n/a	S 10
434.2600000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
438.4140000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
439.7760000000	n/a	n/a	Left Button	n/a	n/a	S 10
441.3000000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
445.1020000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
445.6280000000	n/a	n/a	Right Button	n/a	n/a	S 20
446.8040000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
450.2720000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
451.0880000000	n/a	n/a	Left Button	n/a	n/a	S 10
451.9400000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
455.5760000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
456.1700000000	n/a	n/a	Left Button	n/a	n/a	S 10
457.1780000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
461.1980000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
462.4780000000	n/a	n/a	Right Button	n/a	n/a	S 20
463.8840000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
467.7700000000	n/a	n/a	CUE: B - HARD PUPPY	n/a	n/a	S  2
469.5820000000	n/a	n/a	Left Button	n/a	n/a	S 10
470.8380000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
474.3240000000	n/a	n/a	CUE: A - EASY PUPPY	n/a	n/a	S  1
475.0860000000	n/a	n/a	Right Button	n/a	n/a	S 20
475.9420000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
479.5280000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
481.1820000000	n/a	n/a	Right Button	n/a	n/a	S 20
482.1480000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
485.6660000000	n/a	n/a	CUE: D - HARD COW	n/a	n/a	S  4
486.3460000000	n/a	n/a	Right Button	n/a	n/a	S 20
487.2520000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
490.9540000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
492.4700000000	n/a	n/a	Left Button	n/a	n/a	S 10
493.5560000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
497.1080000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
497.8820000000	n/a	n/a	Left Button	n/a	n/a	S 10
498.8100000000	n/a	n/a	FB: WIN COW	n/a	n/a	S103
502.4120000000	n/a	n/a	CUE: C - EASY COW	n/a	n/a	S  3
503.9700000000	n/a	n/a	Right Button	n/a	n/a	S 20
504.9480000000	n/a	n/a	FB: LOSE COW	n/a	n/a	S104
